tmdbId,Title,Release_Date,TMDb_Rating,Genres,Cast,Director,Overview,Original_Title,movieId,User_Avg_Rating,Rating_Norm
19901,Daybreakers,2010-01-06,6.277,"Action, Fantasy, Science Fiction","Ethan Hawke, Sam Neill, Willem Dafoe, Claudia Karvan, Isabel Lucas","Michael Spierig, Peter Spierig","In the year 2019, a plague has transformed almost every human into a vampire. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vampires on a way to save humankind.",Daybreakers (2010),73268,3.2242063492063493,0.6448412698412699
25195,Leap Year,2010-01-08,6.897,"Romance, Comedy","Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan",Anand Tucker,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",Leap Year (2010),73319,3.312957157784744,0.6625914315569488
20504,The Book of Eli,2010-01-14,6.795,"Action, Thriller, Science Fiction","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals","Allen Hughes, Albert Hughes","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Book of Eli, The (2010)",73321,3.459850772783798,0.6919701545567596
40660,If You Love,2010-01-06,5.9,"Drama, Romance","Elli Vallinoja, Chike Ohanwe, Jessica Penttilä, Jenni Kokander, Taneli Mäkelä",Neil Hardwick,"Ada, the pampered daughter of the Minister, crashes drunk with an immigrant and loses her memory. Ada starts dating the victim’s son, Toni, but the relationship is put to the test when the secret is revealed.",If You Love (Jos rakastat) (2010),73744,2.6666666666666665,0.5333333333333333
22894,Legion,2010-01-21,5.897,"Horror, Action, Fantasy","Paul Bettany, Dennis Quaid, Lucas Black, Kate Walsh, Tyrese Gibson",Scott Stewart,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",Legion (2010),73929,2.6238425925925926,0.5247685185185185
31156,Dante's Hell Animated,2013-11-25,5.4,Animation,"Jeff Conaway, Eric Roberts, Vincent Spano, Hélène Cardona, Nia Peeples",Boris Acosta,"Dante's Hell Animated is a real and truthful epic animation film that embarks Dante Alighieri's journey through the first part of the afterlife, Hell. It is a compelling four-quadrant film presented circle by circle in a chronological descent to the center of Hell, and to the exit into Purgatory. Dante's Hell Animated comes in two versions, one recited in primitive Italian in Dante's own words, and another narrated in English better understanding in this non-original language. Dante is guided by his hero Virgil through each circle of Hell and their subdivisions until they reach the center of the Earth and escaped to the other hemisphere into Purgatory. It features over 50 original color illustrations from the upcoming Dante's Hell comic book and magazine series, put together in a series of animation clips that will delight young and mature audiences.",Dante's Inferno Animated (2010),74115,2.736111111111111,0.5472222222222223
27569,Extraordinary Measures,2010-01-21,6.281,Drama,"Brendan Fraser, Harrison Ford, Keri Russell, Courtney B. Vance, Meredith Droeger",Tom Vaughan,"Working-class father John Crowley is finally on the fast track to corporate success when his two young children are diagnosed with Pompe disease—a condition that prevents the body from breaking down sugar. With the support of his wife, John ditches his career and teams with unconventional specialist, Dr. Robert Stonehill to found a bio-tech company and develop a cure in time to save the lives of his children. As Dr. Stonehill works tirelessly to prove the theories that made him the black sheep of the medical community, a powerful bond is forged between the two unlikely allies.",Extraordinary Measures (2010),74131,3.0968992248062017,0.6193798449612403
13477,When in Rome,2010-01-29,5.943,"Comedy, Fantasy, Romance","Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito, Will Arnett",Mark Steven Johnson,"Disillusioned with romance, Beth, an ambitious New Yorker, travels to Rome for her sister's wedding, where she plucks magic coins from a special fountain of love. The coins attract unwanted attention from an assortment of odd yet ardent suitors:  a sausage merchant, a street magician, an artist, and a male model. But when the best man from the wedding, persistent reporter Nick, throws his hat in the ring, Beth wonders if his love is the real thing.",When in Rome (2010),74154,3.0176211453744495,0.6035242290748899
12201,Edge of Darkness,2010-01-28,6.368,"Crime, Drama, Mystery, Thriller","Mel Gibson, Ray Winstone, Danny Huston, Bojana Novaković, Shawn Roberts",Martin Campbell,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",Edge of Darkness (2010),74156,3.178729689807976,0.6357459379615953
32856,Valentine's Day,2010-02-10,5.923,"Comedy, Romance","Bradley Cooper, Jessica Alba, Kathy Bates, Jessica Biel, Eric Dane",Garry Marshall,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,Valentine's Day (2010),74450,2.9217032967032965,0.5843406593406593
7978,The Wolfman,2010-02-10,5.874,Horror,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving, Geraldine Chaplin",Joe Johnston,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.","Wolfman, The (2010)",74452,2.6473851030110933,0.5294770206022187
11324,Shutter Island,2010-02-14,8.201,"Drama, Thriller, Mystery","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",Martin Scorsese,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Shutter Island (2010),74458,3.964762257757069,0.7929524515514138
32657,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,6.208,"Adventure, Fantasy, Family","Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Pierce Brosnan",Chris Columbus,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",Percy Jackson & the Olympians: The Lightning Thief (2010),74530,2.927309439676931,0.5854618879353862
23742,Cop Out,2010-02-26,5.554,"Action, Comedy, Crime","Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Ana de la Reguera",Kevin Smith,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.",Cop Out (2010),74532,2.6608557844690965,0.5321711568938193
11439,The Ghost Writer,2010-02-12,6.819,"Thriller, Mystery","Ewan McGregor, Pierce Brosnan, Kim Cattrall, Olivia Williams, Tom Wilkinson",Roman Polanski,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,"Ghost Writer, The (2010)",74545,3.591044037605146,0.7182088075210291
23172,The Spy Next Door,2010-01-15,5.873,"Action, Comedy, Family","Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley, Alina Foley",Brian Levant,"Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau. And when one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family.","Spy Next Door, The (2010)",74580,2.747340425531915,0.549468085106383
41894,Blood Done Sign My Name,2010-02-01,5.6,"Drama, Crime","Natalie Alyn Lind, Michael Rooker, Emily Alyn Lind, Omar Benson Miller, Lee Norris",Jeb Stuart,A drama based on the true story in which a black Vietnam-era veteran is allegedly murdered by a local white businessman who is later exonerated. The plot focuses on the role of a local high school teacher and the civil unrest that followed the acquittal.,Blood Done Sign My Name (2010),74595,2.9166666666666665,0.5833333333333333
408956,Pudana: Last of the Line,2010-02-26,6.0,Drama,,"Markku Lehmuskallio, Anastasia Lapsui","A little Nenets girl Neko is taken against her will from her home to a boarding school in a remote Russian village. Forced to adapt to a foreign culture and new customs, Neko rebels and decides to flee, hoping to get back to her family and old habits.",Pudana Last of the Line (Sukunsa viimeinen) (2010),74675,3.1666666666666665,0.6333333333333333
29427,The Crazies,2010-02-26,6.294,"Mystery, Horror, Action","Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker, Joe Reegan",Breck Eisner,Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.,"Crazies, The (2010)",74685,3.2405618964003513,0.6481123792800703
22971,Dear John,2010-02-04,6.847,"Drama, Romance, War","Amanda Seyfried, Channing Tatum, Richard Jenkins, Henry Thomas, D.J. Cotrona",Lasse Hallström,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",Dear John (2010),74688,3.1766917293233083,0.6353383458646616
23023,Tooth Fairy,2010-01-14,5.48,"Comedy, Family, Fantasy","Dwayne Johnson, Stephen Merchant, Ashley Judd, Julie Andrews, Ryan Sheckler",Michael Lembeck,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",Tooth Fairy (2010),74698,2.4171779141104293,0.4834355828220859
26022,My Name Is Khan,2010-02-10,8.034,"Drama, Romance","Shah Rukh Khan, Kajol, Arjan Aujla, Jimmy Shergill, Sonya Jehan",Karan Johar,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",My Name is Khan (2010),74787,3.597682119205298,0.7195364238410595
12155,Alice in Wonderland,2010-03-03,6.636,"Family, Fantasy, Adventure","Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover",Tim Burton,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",Alice in Wonderland (2010),74789,3.0910222612770943,0.6182044522554189
22972,Green Zone,2010-03-11,6.488,"War, Action, Adventure, Drama, Thriller","Matt Damon, Greg Kinnear, Brendan Gleeson, Amy Ryan, Khalid Abdalla",Paul Greengrass,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",Green Zone (2010),74795,3.3687002652519893,0.6737400530503979
26389,From Paris with Love,2010-02-04,6.349,"Action, Crime, Thriller","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin",Pierre Morel,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",From Paris with Love (2010),74851,3.1486359360301033,0.6297271872060206
27583,Greenberg,2010-03-26,5.869,"Comedy, Drama, Romance","Ben Stiller, Greta Gerwig, Rhys Ifans, Jennifer Jason Leigh, Mark Duplass",Noah Baumbach,"Roger Greenberg, a failed musician now making a living as a carpenter in New York, returns to Los Angeles to house-sit for his brother. He's stranded there—since he doesn't drive—until his brother's assistant, Florence, comes to his rescue. She's as much a lost soul as he is, and the pair form a significant connection—giving Roger a much-needed reason to be happy.",Greenberg (2010),74916,3.203065134099617,0.6406130268199234
26390,Brooklyn's Finest,2010-03-04,6.3,"Crime, Drama, Thriller","Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Vincent D'Onofrio",Antoine Fuqua,Enforcing the law within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects is the NYPD's sixty-fifth precinct. Three police officers struggle with the sometimes fine line between right and wrong.,Brooklyn's Finest (2010),74944,3.0919354838709676,0.6183870967741936
34016,She's Out of My League,2010-03-11,6.479,"Romance, Comedy","Jay Baruchel, Alice Eve, T.J. Miller, Nate Torrence, Mike Vogel",Jim Field Smith,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",She's Out of My League (2010),74946,3.252734375,0.6505468750000001
