Title,Rating,Votes,URL
Inception,8.8,2,https://www.imdb.com/title/tt1375666/
Shutter Island,8.2,1,https://www.imdb.com/title/tt1130884/
Toy Story 3,8.3,949K,https://www.imdb.com/title/tt0435761/
Iron Man 2,6.9,919K,https://www.imdb.com/title/tt1228705/
Black Swan,8.0,873K,https://www.imdb.com/title/tt0947798/
How to Train Your Dragon,8.1,870K,https://www.imdb.com/title/tt0892769/
The Social Network,7.8,803K,https://www.imdb.com/title/tt1285016/
The King's Speech,8.0,727K,https://www.imdb.com/title/tt1504320/
Harry Potter and the Deathly Hallows: Part 1,7.7,645K,https://www.imdb.com/title/tt0926084/
Despicable Me,7.6,620K,https://www.imdb.com/title/tt1323594/
Kick-Ass,7.6,615K,https://www.imdb.com/title/tt1250777/
Tangled,7.7,532K,https://www.imdb.com/title/tt0398286/
Scott Pilgrim vs. the World,7.5,489K,https://www.imdb.com/title/tt0446029/
Alice in Wonderland,6.4,461K,https://www.imdb.com/title/tt1014759/
The Town,7.5,439K,https://www.imdb.com/title/tt0840361/
Easy A,7.0,437K,https://www.imdb.com/title/tt1282140/
127 Hours,7.5,419K,https://www.imdb.com/title/tt1542344/
The Fighter,7.8,403K,https://www.imdb.com/title/tt0964517/
Tron: Legacy,6.8,379K,https://www.imdb.com/title/tt1104001/
The Expendables,6.4,376K,https://www.imdb.com/title/tt1320253/
True Grit,7.6,371K,https://www.imdb.com/title/tt1403865/
Due Date,6.5,368K,https://www.imdb.com/title/tt1231583/
Insidious,6.8,360K,https://www.imdb.com/title/tt1591095/
The Book of Eli,6.8,356K,https://www.imdb.com/title/tt1037705/
Salt,6.5,340K,https://www.imdb.com/title/tt0944835/
RED,7.0,335K,https://www.imdb.com/title/tt1245526/
Megamind,7.3,318K,https://www.imdb.com/title/tt1001526/
Prince of Persia: The Sands of Time,6.5,314K,https://www.imdb.com/title/tt0473075/
Grown Ups,6.0,304K,https://www.imdb.com/title/tt1375670/
The Other Guys,6.7,304K,https://www.imdb.com/title/tt1386588/
Clash of the Titans,5.8,302K,https://www.imdb.com/title/tt0800320/
Robin Hood,6.6,293K,https://www.imdb.com/title/tt0955308/
The Twilight Saga: Eclipse,5.1,276K,https://www.imdb.com/title/tt1325004/
The A-Team,6.7,275K,https://www.imdb.com/title/tt0429493/
The Tourist,6.0,266K,https://www.imdb.com/title/tt1243957/
Predators,6.4,257K,https://www.imdb.com/title/tt1424381/
Love & Other Drugs,6.7,244K,https://www.imdb.com/title/tt0758752/
Shrek Forever After,6.3,240K,https://www.imdb.com/title/tt0892791/
The Karate Kid,6.3,222K,https://www.imdb.com/title/tt1155076/
Blue Valentine,7.3,222K,https://www.imdb.com/title/tt1120985/
Knight and Day,6.3,222K,https://www.imdb.com/title/tt1013743/
Unstoppable,6.8,216K,https://www.imdb.com/title/tt0477080/
The Next Three Days,7.3,213K,https://www.imdb.com/title/tt1458175/
Percy Jackson & the Olympians: The Lightning Thief,5.9,212K,https://www.imdb.com/title/tt0814255/
Machete,6.6,209K,https://www.imdb.com/title/tt0985694/
Tucker and Dale vs Evil,7.5,206K,https://www.imdb.com/title/tt1465522/
Hot Tub Time Machine,6.4,194K,https://www.imdb.com/title/tt1231587/
Get Him to the Greek,6.3,189K,https://www.imdb.com/title/tt1226229/
Resident Evil: Afterlife,5.8,185K,https://www.imdb.com/title/tt1220634/
The Last Airbender,3.9,180K,https://www.imdb.com/title/tt0938283/
Inception,8.8,2,https://www.imdb.com/title/tt1375666/
Shutter Island,8.2,1,https://www.imdb.com/title/tt1130884/
Toy Story 3,8.3,949K,https://www.imdb.com/title/tt0435761/
Iron Man 2,6.9,919K,https://www.imdb.com/title/tt1228705/
Black Swan,8.0,873K,https://www.imdb.com/title/tt0947798/
How to Train Your Dragon,8.1,870K,https://www.imdb.com/title/tt0892769/
The Social Network,7.8,803K,https://www.imdb.com/title/tt1285016/
The King's Speech,8.0,727K,https://www.imdb.com/title/tt1504320/
Harry Potter and the Deathly Hallows: Part 1,7.7,645K,https://www.imdb.com/title/tt0926084/
Despicable Me,7.6,620K,https://www.imdb.com/title/tt1323594/
Kick-Ass,7.6,615K,https://www.imdb.com/title/tt1250777/
Tangled,7.7,532K,https://www.imdb.com/title/tt0398286/
Scott Pilgrim vs. the World,7.5,489K,https://www.imdb.com/title/tt0446029/
Alice in Wonderland,6.4,461K,https://www.imdb.com/title/tt1014759/
The Town,7.5,439K,https://www.imdb.com/title/tt0840361/
Easy A,7.0,437K,https://www.imdb.com/title/tt1282140/
127 Hours,7.5,419K,https://www.imdb.com/title/tt1542344/
The Fighter,7.8,403K,https://www.imdb.com/title/tt0964517/
Tron: Legacy,6.8,379K,https://www.imdb.com/title/tt1104001/
The Expendables,6.4,376K,https://www.imdb.com/title/tt1320253/
True Grit,7.6,371K,https://www.imdb.com/title/tt1403865/
Due Date,6.5,368K,https://www.imdb.com/title/tt1231583/
Insidious,6.8,360K,https://www.imdb.com/title/tt1591095/
The Book of Eli,6.8,356K,https://www.imdb.com/title/tt1037705/
Salt,6.5,340K,https://www.imdb.com/title/tt0944835/
RED,7.0,335K,https://www.imdb.com/title/tt1245526/
Megamind,7.3,318K,https://www.imdb.com/title/tt1001526/
Prince of Persia: The Sands of Time,6.5,314K,https://www.imdb.com/title/tt0473075/
Grown Ups,6.0,304K,https://www.imdb.com/title/tt1375670/
The Other Guys,6.7,304K,https://www.imdb.com/title/tt1386588/
Clash of the Titans,5.8,302K,https://www.imdb.com/title/tt0800320/
Robin Hood,6.6,293K,https://www.imdb.com/title/tt0955308/
The Twilight Saga: Eclipse,5.1,276K,https://www.imdb.com/title/tt1325004/
The A-Team,6.7,275K,https://www.imdb.com/title/tt0429493/
The Tourist,6.0,266K,https://www.imdb.com/title/tt1243957/
Predators,6.4,257K,https://www.imdb.com/title/tt1424381/
Love & Other Drugs,6.7,244K,https://www.imdb.com/title/tt0758752/
Shrek Forever After,6.3,240K,https://www.imdb.com/title/tt0892791/
